mocograd,pacograd,yeduc
0,0,13.5
0,0,12
0,0,12
0,0,13
0,0,12.5
0,0,12.5
0,0,15
0,0,10.5
0,0,13.5
0,0,12
0,0,14
0,0,12
0,0,12
0,0,12
0,0,12
0,0,12.5
0,0,10.5
0,0,12.5
0,0,14.5
0,0,10.5
0,0,12.5
0,0,12
0,0,12
0,0,14
0,0,13.5
0,0,14
0,0,13
0,0,12
0,0,12
0,0,12
0,0,13.5
0,0,12
0,0,12.5
0,0,14
0,0,12
0,0,13
0,0,13
0,0,12
0,0,12
0,0,13
0,0,10.5
0,0,13.5
0,0,12
0,0,13
0,0,12
0,0,13
0,0,13.5
0,0,12.5
0,0,12
0,0,14
0,0,14
0,0,14
0,0,12.5
0,0,12
0,0,13
0,0,12.5
0,0,12
0,0,12
0,0,14
0,0,12
0,0,12.5
0,0,13.5
0,0,13
0,0,14
0,0,13
0,0,14
0,0,12.5
0,0,14
0,0,13
0,0,12
0,0,12
0,0,13
0,0,13
0,0,13
0,0,14
0,0,13.5
0,0,14
0,0,15
0,0,12.5
0,0,12
0,0,12
0,0,14
0,0,12.5
0,0,12.5
0,0,12
0,0,12
0,0,12.5
0,0,13
0,0,13
0,0,13
0,0,12
0,0,12.5
0,0,14
0,0,14
0,0,13
0,0,14
0,0,13
0,0,12
0,0,14
0,0,12.5
0,0,12
0,0,13
0,0,12
0,0,12.5
0,0,12.5
0,0,12.5
0,0,13.5
0,0,14
0,0,14
0,0,12.5
0,0,12.5
0,0,13
0,0,14
0,0,12.5
0,0,13
0,0,13.5
0,0,12
0,0,13.5
0,0,11.5
0,0,14
0,0,13
0,0,12.5
0,0,12.5
0,0,13
0,0,11.5
0,0,12
0,0,12
0,0,12.5
0,0,12.5
0,0,14
0,0,12.5
0,0,14
0,0,14
0,0,13
0,0,12.5
0,0,14
0,0,12
0,0,14
0,0,12.5
0,0,14
0,0,12.5
0,0,14
0,0,13
0,0,14
0,0,13
0,0,13.5
0,0,12
0,0,12.5
0,0,13.5
0,0,13.5
0,0,14
0,0,12.5
0,0,13.5
0,0,14
0,0,10.5
0,0,13
0,0,12.5
0,0,13
0,0,12
0,0,15
0,0,14
0,0,12.5
0,0,12
0,0,15
0,0,12
0,0,12
0,0,13
0,0,12
0,0,14
0,0,12.5
0,0,12.5
0,0,15
0,0,12
0,0,12.5
0,0,13
0,0,15
0,0,12
0,0,14
0,0,12
0,0,14
0,0,12
0,0,12.5
0,0,15
0,0,12
0,0,12.5
0,0,12.5
0,0,12
0,0,12.5
0,0,14
0,0,13.5
0,0,12.5
0,0,12
0,0,12.5
0,0,14
0,0,12
0,0,12
0,0,14
0,0,12.5
0,0,13.5
0,0,12
0,0,12
0,0,12.5
0,0,12.5
0,0,12
0,0,14
0,0,13.5
0,0,13.5
0,0,13
0,0,12.5
0,0,14
0,0,12
0,0,10.5
0,0,13.5
0,0,14
0,0,14
0,0,12
0,0,14
0,0,12
0,0,14
0,0,12.5
0,0,14
0,0,12
0,0,12.5
0,0,12.5
0,0,13.5
0,0,14
0,0,14
0,0,12.5
0,0,12.5
0,0,10.5
0,0,12
0,0,14
0,0,13
0,0,13
0,0,12.5
0,0,13
0,0,13.5
0,0,12.5
0,0,12.5
0,0,14
0,0,12.5
0,0,12.5
0,0,14
0,0,12
0,0,13
0,0,15
0,0,13
0,0,12
0,0,13.5
0,0,12
0,0,13
0,0,13
0,0,12
0,0,12
0,0,12.5
0,0,12.5
0,0,15
0,0,12
0,0,14
0,0,12.5
0,0,12
0,0,14
0,0,13
0,0,13
0,0,13
0,0,14
0,0,12
0,0,13
0,0,13
0,0,12
0,0,14
0,0,12.5
0,0,12.5
0,0,12
0,0,14
0,0,14
0,0,13
0,0,14
0,0,12
0,0,12
0,0,13
0,0,11.5
0,0,12.5
0,0,12.5
0,0,12
0,0,13
0,0,12
0,0,12.5
0,0,12
0,0,12
0,0,12
0,0,14
0,0,12
0,0,12
0,0,12
0,0,12.5
0,0,12.5
0,0,14
0,0,14
0,0,14.5
0,0,13
0,0,12
0,0,14
0,0,12
0,0,12
0,0,14
0,0,12.5
0,0,12
0,0,13
0,0,14
0,0,12
0,0,13
0,0,14
0,0,12
0,0,13
0,0,12
0,0,14
0,0,13.5
0,0,12.5
0,0,11.5
0,0,12.5
0,0,12.5
0,0,14
0,0,12
0,0,12.5
0,0,12
0,0,14
0,0,12
0,0,14
0,0,12
0,0,12.5
0,0,12
0,0,12
0,0,13
0,0,10.5
0,0,12
0,0,12.5
0,0,13.5
0,0,14
0,0,12
0,0,12.5
0,0,14
0,0,12.5
0,0,12.5
0,0,12
0,0,14
0,0,12
0,0,12
0,0,13
0,0,14
0,0,14
0,0,14
0,0,12
0,0,13
0,0,14
0,0,11.5
0,0,13
0,0,14
0,0,12.5
0,0,12
0,0,14
0,0,12.5
0,0,12.5
0,0,12
0,0,14
0,0,12
0,0,14
0,0,12.5
0,0,13
0,0,13
0,0,13.5
0,0,14
0,0,14
0,0,12
0,0,10.5
0,0,12.5
0,0,12.5
0,0,12
0,0,12
0,0,12
0,0,12.5
0,0,12
0,0,12
0,0,12
0,0,13
0,0,12
0,0,15
0,0,14
0,0,14
0,0,14
0,0,13
0,0,13
0,0,14
0,0,13
0,0,12
0,0,12
0,0,15
0,0,12.5
0,0,13
0,0,14
0,0,12.5
0,0,12
0,0,14
0,0,13
0,0,13.5
0,0,11.5
0,0,13
0,0,13
0,0,13
0,0,13
0,0,13
0,0,12.5
0,0,12
0,0,12.5
0,0,13
0,0,12
0,0,13
0,0,12
0,0,12
0,0,12
0,0,12
0,0,12
0,0,14
0,0,14
0,0,12
0,0,12
0,0,14
0,0,14
0,0,12
0,0,12
0,0,12
0,0,13
0,0,13
0,0,12
0,0,12
0,0,12
0,0,13
0,0,12
0,0,13.5
0,0,13
0,0,12
0,0,13.5
0,0,14
0,0,12.5
0,0,12
0,0,12.5
0,0,12
0,0,12
0,0,12.5
0,0,14
0,0,12
0,0,14
0,0,12.5
0,0,13.5
0,0,12
0,0,13
0,0,10.5
0,0,12
0,0,12.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,12
0,0,13
0,0,12
0,0,12
0,0,12
0,0,12
0,0,12
0,0,12.5
0,0,12
0,0,14
0,0,14
0,0,14
0,0,14
0,0,15
0,0,14
0,0,14
0,0,12
0,0,14
0,0,12.5
0,0,12.5
0,0,12.5
0,0,14
0,0,14
0,0,14
0,0,12.5
0,0,12
0,0,13.5
0,0,12
0,0,13.5
0,0,12
0,0,14
0,0,14
0,0,12
0,0,12.5
0,0,12
0,0,14
0,0,12.5
0,0,12
0,0,12
0,0,15
0,0,12
0,0,13.5
0,0,12.5
0,0,14
0,0,14
0,0,12
0,0,12
0,0,12
0,0,13
0,0,12.5
0,0,12
0,0,14
0,0,13.5
0,0,12
0,0,12.5
0,0,12.5
0,0,12.5
0,0,12
0,0,12.5
0,0,13.5
0,0,12
0,0,12.5
0,0,13.5
0,0,12
0,0,14
0,0,12.5
0,0,12.5
0,0,12
0,0,12.5
0,0,12
0,0,12
0,0,12.5
0,0,12
0,0,14
0,0,11.5
0,0,15
0,0,12
0,0,12.5
0,0,12
0,0,12.5
0,0,12.5
0,0,14
0,0,11.5
0,0,13
0,0,12
0,0,13
0,0,14
0,0,12.5
0,0,12
0,0,13
0,0,12
0,0,13.5
0,0,12.5
0,0,14.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,13
0,0,13.5
0,0,13
0,0,13
0,0,13
0,0,12.5
0,0,13.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,12
0,0,14.5
0,0,14.5
0,0,15.5
0,0,14
0,0,13
0,0,12.5
0,0,13
0,0,12.5
0,0,13.5
0,0,13
0,0,12.5
0,0,12.5
0,0,13.5
0,0,12.5
0,0,14
0,0,12.5
0,0,13
0,0,12.5
0,0,14.5
0,0,12.5
0,0,13
0,0,13.5
0,0,13
0,0,12.5
0,0,14
0,0,13.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,11
0,0,12.5
0,0,14.5
0,0,14.5
0,0,13.5
0,0,13.5
0,0,12.5
0,0,13
0,0,12.5
0,0,14.5
0,0,13.5
0,0,13.5
0,0,12.5
0,0,12.5
0,0,13
0,0,13
0,0,12.5
0,0,12.5
0,0,14.5
0,0,12.5
0,0,13
0,0,13
0,0,14.5
0,0,14.5
0,0,14.5
0,0,14.5
0,0,13
0,0,13
0,0,12.5
0,0,13
0,0,14.5
0,0,12.5
0,0,12.5
0,0,13
0,0,12.5
0,0,14.5
0,0,14.5
0,0,12.5
0,0,13.5
0,0,13
0,0,12.5
0,0,13.5
0,0,14.5
0,0,14.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,11
0,0,15.5
0,0,14.5
0,0,15
0,0,12.5
0,0,12.5
0,0,14.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,11
0,0,12.5
0,0,13
0,0,13
0,0,14.5
0,0,12
0,0,12.5
0,0,13.5
0,0,12.5
0,0,12.5
0,0,14
0,0,12.5
0,0,13
0,0,13.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,15.5
0,0,13
0,0,13.5
0,0,13.5
0,0,12.5
0,0,14
0,0,14.5
0,0,14.5
0,0,13
0,0,14
0,0,13.5
0,0,14.5
0,0,13
0,0,13
0,0,15.5
0,0,14
0,0,14.5
0,0,13.5
0,0,12.5
0,0,13
0,0,12.5
0,0,15
0,0,13.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,13.5
0,0,15
0,0,14.5
0,0,12.5
0,0,12.5
0,0,14.5
0,0,14.5
0,0,12.5
0,0,13.5
0,0,14.5
0,0,12.5
0,0,13.5
0,0,14.5
0,0,12.5
0,0,14
0,0,14.5
0,0,13.5
0,0,14
0,0,13
0,0,13.5
0,0,13
0,0,13
0,0,13.5
0,0,12
0,0,13.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,13
0,0,15.5
0,0,14
0,0,11
0,0,13.5
0,0,13.5
0,0,14
0,0,13.5
0,0,13.5
0,0,14.5
0,0,13
0,0,14.5
0,0,12.5
0,0,14.5
0,0,13
0,0,13
0,0,14
0,0,12.5
0,0,13
0,0,14.5
0,0,13
0,0,13.5
0,0,12.5
0,0,13.5
0,0,13
0,0,14.5
0,0,13.5
0,0,13
0,0,13.5
0,0,12.5
0,0,14.5
0,0,13
0,0,12.5
0,0,15.5
0,0,12.5
0,0,12.5
0,0,13.5
0,0,12.5
0,0,12.5
0,0,13.5
0,0,13
0,0,12.5
0,0,13.5
0,0,13.5
0,0,14.5
0,0,13.5
0,0,14.5
0,0,14.5
0,0,13
0,0,12.5
0,0,12.5
0,0,13.5
0,0,13.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,13.5
0,0,13
0,0,12.5
0,0,14.5
0,0,13
0,0,14.5
0,0,14.5
0,0,12
0,0,14
0,0,14.5
0,0,14.5
0,0,14.5
0,0,14.5
0,0,12.5
0,0,13
0,0,14.5
0,0,12.5
0,0,12.5
0,0,13
0,0,12.5
0,0,13
0,0,12.5
0,0,13.5
0,0,14.5
0,0,13
0,0,14
0,0,12.5
0,0,14.5
0,0,13
0,0,12.5
0,0,14
0,0,15
0,0,12
0,0,14.5
0,0,13.5
0,0,13.5
0,0,13.5
0,0,12.5
0,0,13
0,0,14.5
0,0,14.5
0,0,14.5
0,0,14.5
0,0,14.5
0,0,14.5
0,0,14
0,0,14.5
0,0,12.5
0,0,14.5
0,0,12.5
0,0,12.5
0,0,14.5
0,0,15.5
0,0,14.5
0,0,14.5
0,0,12.5
0,0,13
0,0,12.5
0,0,12.5
0,0,12.5
0,0,13
0,0,13.5
0,0,12.5
0,0,13.5
0,0,13
0,0,12.5
0,0,12.5
0,0,14.5
0,0,14.5
0,0,13.5
0,0,13
0,0,12.5
0,0,13
0,0,13
0,0,12
0,0,13
0,0,13
0,0,14
0,0,14.5
0,0,13
0,0,12.5
0,0,13
0,0,14.5
0,0,14.5
0,0,13
0,0,13
0,0,12.5
0,0,13
0,0,12.5
0,0,12.5
0,0,13.5
0,0,12.5
0,0,12.5
0,0,13
0,0,13
0,0,12.5
0,0,13
0,0,14.5
0,0,13
0,0,12.5
0,0,13
0,0,14.5
0,0,12.5
0,0,12.5
0,0,14.5
0,0,14.5
0,0,12.5
0,0,12.5
0,0,13
0,0,11
0,0,12.5
0,0,12.5
0,0,14.5
0,0,13.5
0,0,13
0,0,14.5
0,0,11
0,0,12.5
0,0,13.5
0,0,12.5
0,0,12.5
0,0,14.5
0,0,13
0,0,15.5
0,0,14.5
0,0,13
0,0,13
0,0,13.5
0,0,15
0,0,14.5
0,0,14.5
0,0,12.5
0,0,13.5
0,0,13.5
0,0,12
0,0,12.5
0,0,14.5
0,0,13.5
0,0,12.5
0,0,13
0,0,14.5
0,0,13.5
0,0,12.5
0,0,12.5
0,0,13
0,0,13.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,14.5
0,0,14.5
0,0,12.5
0,0,12.5
0,0,14.5
0,0,13
0,0,14.5
0,0,14.5
0,0,13
0,0,14.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,11
0,0,13.5
0,0,13
0,0,13
0,0,11
0,0,12.5
0,0,13.5
0,0,13
0,0,13.5
0,0,14.5
0,0,12.5
0,0,13.5
0,0,13.5
0,0,13
0,0,13
0,0,12.5
0,0,15.5
0,0,13
0,0,14.5
0,0,12.5
0,0,13.5
0,0,13.5
0,0,12.5
0,0,12.5
0,0,13
0,0,13
0,0,11
0,0,12
0,0,15.5
0,0,13
0,0,12.5
0,0,12.5
0,0,11
0,0,13
0,0,12.5
0,0,12.5
0,0,12.5
0,0,14.5
0,0,13
0,0,13.5
0,0,12.5
0,0,12.5
0,0,13
0,0,14.5
0,0,13
0,0,13
0,0,14.5
0,0,12.5
0,0,14
0,0,13.5
0,0,13.5
0,0,13.5
0,0,13.5
0,0,14.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,14.5
0,0,12.5
0,0,13.5
0,0,13.5
0,0,14.5
0,0,14.5
0,0,12.5
0,0,13.5
0,0,14
0,0,13
0,0,14.5
0,0,12.5
0,0,15.5
0,0,14.5
0,0,14.5
0,0,15.5
0,0,13.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,12.5
0,0,13
0,0,12.5
0,0,15
0,0,14.5
0,0,12.5
0,0,14.5
0,0,14.5
0,0,13.5
0,0,13.5
0,0,14
0,0,12.5
0,0,13
0,0,14.5
0,0,14.5
0,0,12.5
0,0,14.5
0,0,14.5
0,0,14.5
0,0,14.5
0,0,13
0,0,14.5
0,0,14
0,0,12.5
0,0,12.5
0,0,15.5
0,0,14.5
0,0,13
0,0,14.5
0,0,12.5
0,0,14.5
0,0,12.5
0,0,12.5
0,0,14
0,0,13
0,0,13
0,0,12.5
0,0,12.5
0,0,15.5
0,0,12.5
0,0,12
0,0,13.5
0,0,14.5
0,0,13
0,0,14.5
0,0,15
0,0,15
0,0,13.5
0,0,13
0,0,14
0,0,13
0,0,16
0,0,13
0,0,15
0,0,15
0,0,16
0,0,14
0,0,15
0,0,13
0,0,15
0,0,13
0,0,13.5
0,0,15
0,0,15
0,0,14.5
0,0,14.5
0,0,14.5
0,0,15
0,0,13.5
0,0,13
0,0,13.5
0,0,13
0,0,13
0,0,16
0,0,13
0,0,13
0,0,15
0,0,13.5
0,0,13
0,0,14
0,0,13.5
0,0,14
0,0,13
0,0,14
0,0,12.5
0,0,13.5
0,0,13.5
0,0,13.5
0,0,13
0,0,13
0,0,14
0,0,15
0,0,14
0,0,13
0,0,13
0,0,14
0,0,15
0,0,15
0,0,15
0,0,13
0,0,13
0,0,13.5
0,0,13
0,0,14
0,0,15
0,0,14
0,0,13
0,0,15
0,0,15
0,0,13.5
0,0,14.5
0,0,14
0,0,13
0,0,13.5
0,0,14
0,0,13
0,0,14.5
0,0,14
0,0,13.5
0,0,15
0,0,13.5
0,0,13.5
0,0,13.5
0,0,13
0,0,13.5
0,0,13
0,0,15
0,0,14.5
0,0,13.5
0,0,11.5
0,0,13
0,0,13
0,0,13
0,0,14
0,0,14.5
0,0,13.5
0,0,15
0,0,15
0,0,13.5
0,0,13
0,0,15
0,0,15
0,0,15
0,0,12.5
0,0,15
0,0,13
0,0,14
0,0,16
0,0,14.5
0,0,13
0,0,14
0,0,15
0,0,13.5
0,0,13.5
0,0,13.5
0,0,15
0,0,13.5
0,0,13
0,0,13
0,0,13.5
0,0,13
0,0,14
0,0,15
0,0,13
0,0,15
0,0,15
0,0,13.5
0,0,16
0,0,15
0,0,14.5
0,0,12.5
0,0,15
0,0,15
0,0,13.5
0,0,13
0,0,13.5
0,0,15
0,0,13.5
0,0,14
0,0,14
0,0,14.5
0,0,14
0,0,13.5
0,0,11.5
0,0,15
0,0,14
0,0,13
0,0,13
0,0,15
0,0,13
0,0,14
0,0,15
0,0,13
0,0,13
0,0,15
0,0,15
0,0,13.5
0,0,13
0,0,14.5
0,0,14
0,0,15
0,0,14
0,0,13
0,0,15
0,0,14
0,0,13
0,0,13.5
0,0,13
0,0,13
0,0,14
0,0,13
0,0,13
0,0,15
0,0,14.5
0,0,13
0,0,13
0,0,12.5
0,0,15
0,0,15
0,0,13
0,0,13
0,0,15
0,0,13
0,0,13.5
0,0,14
0,0,13
0,0,14
0,0,13
0,0,14.5
0,0,14
0,0,15
0,0,11.5
0,0,14.5
0,0,12.5
0,0,14.5
0,0,13
0,0,15
0,0,12.5
0,0,13.5
0,0,13
0,0,14
0,0,15
0,0,14
0,0,13.5
0,0,13
0,0,13
0,0,15
0,0,13
0,0,15
0,0,15
0,0,13.5
0,0,13
0,0,13
0,0,15
0,0,13
0,0,13
0,0,15
0,0,13.5
0,0,14
0,0,13
0,0,13
0,0,11.5
0,0,13.5
0,0,15
0,0,13.5
0,0,13
0,0,11.5
0,0,13
0,0,13
0,0,13.5
0,0,13.5
0,0,13
0,0,15
0,0,12.5
0,0,14
0,0,14
0,0,13
0,0,13
0,0,12.5
0,0,14
0,0,14
0,0,13
0,0,15
0,0,13.5
0,0,13.5
0,0,13.5
0,0,14.5
0,0,13
0,0,15
0,0,15
0,0,13
0,0,13
0,0,14
0,0,14
0,0,13
0,0,13
0,0,13
0,0,13
0,0,15
0,0,13.5
0,0,13.5
0,0,14
0,0,14.5
0,0,14.5
0,0,15
0,0,11.5
0,0,13.5
0,0,13
0,0,13.5
0,0,13.5
0,0,13
0,0,12.5
0,0,12.5
0,0,15
0,0,14
0,0,14
0,0,13.5
0,0,13
0,0,13
0,0,14
0,0,13
0,0,13
0,0,13
0,0,13.5
0,0,13
0,0,13.5
0,0,13
0,0,13
0,0,13.5
0,0,12.5
0,0,15
0,0,13.5
0,0,13.5
0,0,14.5
0,0,13.5
0,0,15
0,0,14
0,0,13
0,0,11.5
0,0,13.5
0,0,13
0,0,13
0,0,16
0,0,13.5
0,0,13
0,0,12.5
0,0,15
0,0,14.5
0,0,15
0,0,13.5
0,0,14.5
0,0,13
0,0,15
0,0,14
0,0,15
0,0,13
0,0,13
0,0,14
0,0,13
0,0,13.5
0,0,15
0,0,13.5
0,0,15
0,0,13
0,0,13
0,0,15
0,0,13
0,0,13.5
0,0,14
0,0,15
0,0,15
0,0,14
0,0,13.5
0,0,14
0,0,13
0,0,15
0,0,13
0,0,12.5
0,0,15
0,0,15
0,0,14
0,0,13
0,0,13.5
0,0,13
0,0,13
0,0,13.5
0,0,13.5
0,0,14
0,0,14
0,0,13
0,0,13
0,0,15
0,0,13
0,0,15
0,0,15
0,0,14.5
0,0,13
0,0,14
0,0,15
0,0,13.5
0,0,13
0,0,13.5
0,0,13
0,0,13
0,0,14
0,0,14
0,0,13.5
0,0,15
0,0,13.5
0,0,15
0,0,14
0,0,13.5
0,0,13
0,0,13.5
0,0,13
0,0,14.5
0,0,14
0,0,12.5
0,0,13.5
0,0,15
0,0,13
0,0,13
0,0,15.5
0,0,12
0,0,15.5
0,0,13.5
0,0,14
0,0,14
0,0,14.5
0,0,13.5
0,0,13.5
0,0,15.5
0,0,15.5
0,0,14
0,0,15.5
0,0,14
0,0,13.5
0,0,14.5
0,0,15.5
0,0,13.5
0,0,15.5
0,0,15.5
0,0,13.5
0,0,13.5
0,0,13.5
0,0,14
0,0,13.5
0,0,13.5
0,0,13.5
0,0,15.5
0,0,14.5
0,0,14.5
0,0,16
0,0,13.5
0,0,14
0,0,15.5
0,0,14
0,0,14
0,0,13.5
0,0,15
0,0,14
0,0,15.5
0,0,15.5
0,0,14
0,0,14
0,0,13.5
0,0,14
0,0,13.5
0,0,13.5
0,0,13.5
0,0,14.5
0,0,14.5
0,0,15
0,0,14.5
0,0,13.5
0,0,14
0,0,14.5
0,0,14.5
0,0,13.5
0,0,14
0,0,14
0,0,15.5
0,0,14.5
0,0,14
0,0,14
0,0,13.5
0,0,14
0,0,13.5
0,0,13.5
0,0,13.5
0,0,13.5
0,0,13.5
0,0,16.5
0,0,14.5
0,0,14.5
0,0,15.5
0,0,14
0,0,14
0,0,15.5
0,0,13.5
0,0,15
0,0,15.5
0,0,13.5
0,0,15
0,0,13.5
0,0,13.5
0,0,13.5
0,0,13.5
0,0,14
0,0,13.5
0,0,13.5
0,0,14.5
0,0,12
0,0,15.5
0,0,15.5
0,0,13.5
0,0,13.5
0,0,13.5
0,0,15
0,0,13.5
0,0,13.5
0,0,14.5
0,0,13.5
0,0,13.5
0,0,15.5
0,0,15.5
0,0,14.5
0,0,13.5
0,0,13.5
0,0,15.5
0,0,13.5
0,0,14
0,0,14.5
0,0,14.5
0,0,15
0,0,14
0,0,15.5
0,0,15.5
0,0,13.5
0,0,15.5
0,0,13.5
0,0,15.5
0,0,15.5
0,0,14
0,0,14
0,0,14.5
0,0,13.5
0,0,14.5
0,0,13.5
0,0,13.5
0,0,13.5
0,0,14.5
0,0,13.5
0,0,14.5
0,0,14
0,0,15.5
0,0,16
0,0,14
0,0,15.5
0,0,13.5
0,0,14.5
0,0,15.5
0,0,15.5
0,0,13.5
0,0,14
0,0,14.5
0,0,14
0,0,15.5
0,0,16
0,0,13.5
0,0,14.5
0,0,14
0,0,14
0,0,15.5
0,0,15
0,0,14.5
0,0,15
0,0,14
0,0,14
0,0,14.5
0,0,16
0,0,14.5
0,0,15.5
0,0,14.5
0,0,14
0,0,16
0,0,15
0,0,16
0,0,15
0,0,15
0,0,14
0,0,15.5
